Year,Month,Ridership,Delay Count,,,,,,,,,
2014,Jan,45612000,9822,,,,,,,,,
2014,Feb,41527000,8115,,,,,,,,,
2014,Mar,51320000,8127,,,,,,,,,
2014,Apr,40740000,7881,,,,,,,,,
2014,May,41040000,8030,,,,,,,,,
2014,Jun,50146000,7834,,,,,,,,,
2014,Jul,39939000,6661,,,,,,,,,
2014,Aug,38795000,6654,,,,,,,,,
2014,Sep,53197000,8746,,,,,,,,,
2014,Oct,43581000,7979,,,,,,,,,
2014,Nov,45322000,7689,,,,,,,,,
2014,Dec,43596000,6679,,,,,,,,,
2015,Jan,45027000,6657,,,,,,,,,
2015,Feb,41682000,8113,,,,,,,,,
2015,Mar,50982000,6371,,,,,,,,,
2015,Apr,42045000,6240,,,,,,,,,
2015,May,41505000,6766,,,,,,,,,
2015,Jun,49881000,6693,,,,,,,,,
2015,Jul,39247000,6104,,,,,,,,,
2015,Aug,38275000,4943,,,,,,,,,
2015,Sep,52277000,6386,,,,,,,,,
2015,Oct,42918000,6725,,,,,,,,,
2015,Nov,44175000,5914,,,,,,,,,
2015,Dec,45991000,5524,,,,,,,,,
2016,Jan,43490000,5323,,,,,,,,,
2016,Feb,40371000,5466,,,,,,,,,
2016,Mar,50867000,6312,,,,,,,,,
2016,Apr,42816000,5903,,,,,,,,,
2016,May,41308000,6306,,,,,,,,,
2016,Jun,51285000,6326,,,,,,,,,
2016,Jul,41274000,6998,,,,,,,,,
2016,Aug,37974000,6657,,,,,,,,,
2016,Sep,52481000,6797,,,,,,,,,
2016,Oct,43064000,7201,,,,,,,,,
2016,Nov,44112000,6878,,,,,,,,,
2016,Dec,49037000,6856,,,,,,,,,
2017,Jan,39606000,5294,,,,,,,,,
2017,Feb,40966000,5136,,,,,,,,,
2017,Mar,51768000,4960,,,,,,,,,
2017,Apr,41978000,5027,,,,,,,,,
2017,May,40598000,6010,,,,,,,,,
2017,Jun,52528000,5857,,,,,,,,,
2017,Jul,40182000,5669,,,,,,,,,
2017,Aug,38144000,6062,,,,,,,,,
2017,Sep,52473000,6461,,,,,,,,,
2017,Oct,42279000,6454,,,,,,,,,
2017,Nov,43080000,6495,,,,,,,,,
2017,Dec,49614000,6809,,,,,,,,,
2018,Jan,47565000,6968,,,,,,,,,
2018,Feb,41112000,5775,,,,,,,,,
2018,Mar,50732000,5502,,,,,,,,,
2018,Apr,41302000,6231,,,,,,,,,
2018,May,39941000,6837,,,,,,,,,
2018,Jun,50966000,6168,,,,,,,,,
2018,Jul,39054000,6433,,,,,,,,,
2018,Aug,37217000,6692,,,,,,,,,
2018,Sep,41986000,5937,,,,,,,,,
2018,Oct,40934000,6003,,,,,,,,,
2018,Nov,52207000,6282,,,,,,,,,
2018,Dec,38388000,5046,,,,,,,,,
2019,Jan,45792000,6739,,,,,,,,,
2019,Feb,39421000,6954,,,,,,,,,
2019,Mar,51989000,5709,,,,,,,,,
2019,Apr,39413000,5143,,,,,,,,,
2019,May,39989000,5018,,,,,,,,,
2019,Jun,51209000,5227,,,,,,,,,
2019,Jul,39758000,5108,,,,,,,,,
2019,Aug,38453000,4349,,,,,,,,,
2019,Sep,53236000,3892,,,,,,,,,
2019,Oct,41624000,4275,,,,,,,,,
2019,Nov,43707000,5432,,,,,,,,,
2019,Dec,40879000,4484,,,,,,,,,
2020,Jan,44678000,4282,,,,,,,,,
2020,Feb,40326000,4077,,,,,,,,,
2020,Mar,26783000,3922,,,,,,,,,
2020,Apr,5037000,3864,,,,,,,,,
2020,May,6529000,3504,,,,,,,,,
2020,Jun,11237000,3001,,,,,,,,,
2020,Jul,13122000,2203,,,,,,,,,
2020,Aug,14622000,2100,,,,,,,,,
2020,Sep,19661000,1768,,,,,,,,,
2020,Oct,14750000,2019,,,,,,,,,
2020,Nov,14584000,2575,,,,,,,,,
2020,Dec,13671000,2836,,,,,,,,,
2021,Jan,10895000,2813,,,,,,,,,
2021,Feb,10897000,2864,,,,,,,,,
2021,Mar,15665000,4815,,,,,,,,,
2021,Apr,11038000,4422,,,,,,,,,
2021,May,11452000,4590,,,,,,,,,
2021,Jun,16599000,4826,,,,,,,,,
2021,Jul,15610000,1072,,,,,,,,,
2021,Aug,16707000,1226,,,,,,,,,
2021,Sep,23587000,3529,,,,,,,,,
2021,Oct,20451000,3672,,,,,,,,,
2021,Nov,21646000,3004,,,,,,,,,
2021,Dec,23294000,5247,,,,,,,,,
2022,Jan,14565000,5852,,,,,,,,,
2022,Feb,18937000,3960,,,,,,,,,
2022,Mar,27538000,4029,,,,,,,,,
2022,Apr,22390000,4077,,,,,,,,,
2022,May,24686000,4454,,,,,,,,,
2022,Jun,32229000,4825,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
