route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
66712,1,1,LINE 1 (YONGE-UNIVERSITY),,1,,D5C82B,000000
66502,1,10,VAN HORNE,,3,,FF0000,FFFFFF
66503,1,100,FLEMINGDON PARK,,3,,FF0000,FFFFFF
66504,1,101,DOWNSVIEW PARK,,3,,FF0000,FFFFFF
66505,1,102,MARKHAM RD.,,3,,FF0000,FFFFFF
66506,1,104,FAYWOOD,,3,,FF0000,FFFFFF
66507,1,105,DUFFERIN NORTH,,3,,FF0000,FFFFFF
66508,1,106,SENTINEL,,3,,FF0000,FFFFFF
66509,1,107,YORK UNIVERSITY HEIGHTS,,3,,FF0000,FFFFFF
66510,1,108,DRIFTWOOD,,3,,FF0000,FFFFFF
66511,1,109,RANEE,,3,,FF0000,FFFFFF
66512,1,11,BAYVIEW,,3,,FF0000,FFFFFF
66513,1,110,ISLINGTON SOUTH,,3,,FF0000,FFFFFF
66514,1,111,EAST MALL,,3,,FF0000,FFFFFF
66515,1,112,WEST MALL,,3,,FF0000,FFFFFF
66516,1,113,DANFORTH ROAD,,3,,FF0000,FFFFFF
66517,1,115,SILVER HILLS,,3,,FF0000,FFFFFF
66518,1,116,MORNINGSIDE,,3,,FF0000,FFFFFF
66519,1,118,THISTLE DOWN,,3,,FF0000,FFFFFF
66520,1,119,TORBARRIE,,3,,FF0000,FFFFFF
66521,1,12,KINGSTON ROAD,,3,,FF0000,FFFFFF
66522,1,120,CALVINGTON,,3,,FF0000,FFFFFF
66523,1,121,ESPLANADE-RIVER,,3,,FF0000,FFFFFF
66524,1,122,GRAYDON HALL,,3,,FF0000,FFFFFF
66525,1,123,SHERWAY,,3,,FF0000,FFFFFF
66526,1,124,SUNNYBROOK,,3,,FF0000,FFFFFF
66527,1,125,DREWRY,,3,,FF0000,FFFFFF
66528,1,126,CHRISTIE,,3,,FF0000,FFFFFF
66529,1,127,DAVENPORT,,3,,FF0000,FFFFFF
66530,1,129,MCCOWAN NORTH,,3,,FF0000,FFFFFF
66531,1,13,AVENUE ROAD,,3,,FF0000,FFFFFF
66532,1,130,MIDDLEFIELD,,3,,FF0000,FFFFFF
66533,1,131,NUGGET,,3,,FF0000,FFFFFF
66534,1,132,MILNER,,3,,FF0000,FFFFFF
66535,1,133,NEILSON,,3,,FF0000,FFFFFF
66536,1,134,PROGRESS,,3,,FF0000,FFFFFF
66537,1,135,GERRARD,,3,,FF0000,FFFFFF
66538,1,14,GLENCAIRN,,3,,FF0000,FFFFFF
66539,1,15,EVANS,,3,,FF0000,FFFFFF
66540,1,16,McCOWAN,,3,,FF0000,FFFFFF
66541,1,160,BATHURST NORTH,,3,,FF0000,FFFFFF
66542,1,161,ROGERS ROAD,,3,,FF0000,FFFFFF
66543,1,162,LAWRENCE-DONWAY,,3,,FF0000,FFFFFF
66544,1,165,WESTON RD. NORTH,,3,,FF0000,FFFFFF
66545,1,167,PHARMACY NORTH,,3,,FF0000,FFFFFF
66546,1,168,SYMINGTON,,3,,FF0000,FFFFFF
66547,1,169,HUNTINGWOOD,,3,,FF0000,FFFFFF
66548,1,17,BIRCHMOUNT,,3,,FF0000,FFFFFF
66549,1,171,MOUNT DENNIS,,3,,FF0000,FFFFFF
66550,1,172,CHERRY BEACH,,3,,FF0000,FFFFFF
66551,1,174,ONTARIO PLACE-EXHIBITION,,3,,FF0000,FFFFFF
66552,1,175,BLUFFER'S PARK,,3,,FF0000,FFFFFF
66553,1,189,STOCKYARDS,,3,,FF0000,FFFFFF
66554,1,19,BAY,,3,,FF0000,FFFFFF
66713,1,2,LINE 2 (BLOOR - DANFORTH),,1,,008000,FFFFFF
66555,1,20,CLIFFSIDE,,3,,FF0000,FFFFFF
66556,1,21,BRIMLEY,,3,,FF0000,FFFFFF
66557,1,22,COXWELL,,3,,FF0000,FFFFFF
66558,1,23,DAWES,,3,,FF0000,FFFFFF
66559,1,24,VICTORIA PARK,,3,,FF0000,FFFFFF
66560,1,25,DON MILLS,,3,,FF0000,FFFFFF
66561,1,26,DUPONT,,3,,FF0000,FFFFFF
66562,1,28,BAYVIEW SOUTH,,3,,FF0000,FFFFFF
66563,1,29,DUFFERIN,,3,,FF0000,FFFFFF
66714,1,3,LINE 3 (SCARBOROUGH),,1,,108BEF,FFFFFF
66564,1,30,HIGH PARK,,3,,FF0000,FFFFFF
66565,1,300,BLOOR-DANFORTH NIGHT BUS,,3,,0000FF,FFFFFF
66566,1,301,QUEEN,,0,,0000FF,FFFFFF
66567,1,302,KINGSTON RD-McCOWAN NIGHT BUS,,3,,0000FF,FFFFFF
66568,1,304,KING,,0,,0000FF,FFFFFF
66569,1,306,CARLTON,,0,,0000FF,FFFFFF
66570,1,307,BATHURST NIGHT BUS,,3,,0000FF,FFFFFF
66571,1,31,GREENWOOD,,3,,FF0000,FFFFFF
66572,1,310,SPADINA,,0,,0000FF,FFFFFF
66573,1,312,ST.CLAIR-JUNCTION NIGHT BUS,,3,,0000FF,FFFFFF
66574,1,315,EVANS - BROWN'S LINE NIGHT BUS,,3,,0000FF,FFFFFF
66575,1,32,EGLINTON WEST,,3,,FF0000,FFFFFF
66576,1,320,YONGE NIGHT BUS,,3,,0000FF,FFFFFF
66577,1,322,COXWELL NIGHT BUS,,3,,0000FF,FFFFFF
66578,1,324,VICTORIA PARK NIGHT BUS,,3,,0000FF,FFFFFF
66579,1,325,DON MILLS NIGHT BUS,,3,,0000FF,FFFFFF
66580,1,329,DUFFERIN NIGHT BUS,,3,,0000FF,FFFFFF
66581,1,33,FOREST HILL,,3,,FF0000,FFFFFF
66582,1,332,EGLINTON WEST NIGHT BUS,,3,,0000FF,FFFFFF
66583,1,334,EGLINTON EAST NIGHT BUS,,3,,0000FF,FFFFFF
66584,1,335,JANE NIGHT BUS,,3,,0000FF,FFFFFF
66585,1,336,FINCH WEST NIGHT BUS,,3,,0000FF,FFFFFF
66586,1,337,ISLINGTON NIGHT BUS,,3,,0000FF,FFFFFF
66587,1,339,FINCH EAST NIGHT BUS,,3,,0000FF,FFFFFF
66588,1,34,EGLINTON EAST,,3,,FF0000,FFFFFF
66589,1,341,KEELE NIGHT BUS,,3,,0000FF,FFFFFF
66590,1,343,KENNEDY NIGHT BUS,,3,,0000FF,FFFFFF
66591,1,35,JANE,,3,,FF0000,FFFFFF
66592,1,352,LAWRENCE WEST NIGHT BUS,,3,,0000FF,FFFFFF
66593,1,353,STEELES NIGHT BUS,,3,,0000FF,FFFFFF
66594,1,354,LAWRENCE EAST NIGHT BUS,,3,,0000FF,FFFFFF
66595,1,36,FINCH WEST,,3,,FF0000,FFFFFF
66596,1,363,OSSINGTON NIGHT BUS,,3,,0000FF,FFFFFF
66597,1,365,PARLIAMENT NIGHT BUS,,3,,0000FF,FFFFFF
66598,1,37,ISLINGTON,,3,,FF0000,FFFFFF
66599,1,38,HIGHLAND CREEK,,3,,FF0000,FFFFFF
66600,1,384,SHEPPARD WEST NIGHT BUS,,3,,0000FF,FFFFFF
66601,1,385,SHEPPARD EAST NIGHT BUS,,3,,0000FF,FFFFFF
66602,1,39,FINCH EAST,,3,,FF0000,FFFFFF
66603,1,395,YORK MILLS NIGHT BUS,,3,,0000FF,FFFFFF
66604,1,396,WILSON NIGHT BUS,,3,,0000FF,FFFFFF
66715,1,4,LINE 4 (SHEPPARD),,1,,B300B3,FFFFFF
66605,1,40,JUNCTION-DUNDAS WEST,,3,,FF0000,FFFFFF
66606,1,400,LAWRENCE MANOR,,3,,808080,FFFFFF
66607,1,402,PARKDALE,,3,,808080,FFFFFF
66608,1,403,DON MILLS SOUTH,,3,,808080,FFFFFF
66609,1,404,EAST YORK,,3,,808080,FFFFFF
66610,1,405,ETOBICOKE,,3,,808080,FFFFFF
66611,1,41,KEELE,,3,,FF0000,FFFFFF
66612,1,42,CUMMER,,3,,FF0000,FFFFFF
66613,1,43,KENNEDY,,3,,FF0000,FFFFFF
66614,1,44,KIPLING SOUTH,,3,,FF0000,FFFFFF
66615,1,45,KIPLING,,3,,FF0000,FFFFFF
