Ward_name,Area (sq km)
Scarborough-Rouge Park,54.1
Etobicoke North,48.4
Etobicoke-Lakeshore,40
Etobicoke Centre,37.4
York Centre,35.4
Humber River-Black Creek,30.7
Scarborough North,30.4
Don Valley West,30.3
Scarborough Southwest,28.2
Scarborough Centre,28.2
Scarborough-Guildwood,26.1
York South-Weston,25
Don Valley North,24.4
Don Valley East,23
Eglinton-Lawrence,22.7
Toronto-Danforth,21.8
Scarborough-Agincourt,21.4
Willowdale,19.8
Spadina-Fort York,18.7
Beaches-East York,16.8
Parkdale-High Park,15.3
University-Rosedale,13.6
Toronto-St. Paul’s,13.1
Davenport,12.1
Toronto Centre,5.9
