,Min Delay,Min Gap,delay_count,date,max_temperature,avg_temperature,min_temperature,avg_visibility,precipitation
0,83.12727272727273,96.21818181818182,55.0,1/1/21,1.6,-1.24,-4.1,13250,8.0
1,16.27338129496403,30.136690647482013,139.0,1/1/22,4.5,0.64,-3.2,12250,2.4
2,15.865384615384615,28.346153846153847,52.0,1/10/21,1.9,-1.85,-5.6,21700,0.0
3,15.094827586206897,27.50862068965517,232.0,1/10/22,-7.1,-12.8,-18.5,13050,0.2
4,23.13,36.17,100.0,1/11/21,0.2,-2.95,-6.1,16900,0.0
5,14.097222222222221,25.02777777777778,216.0,1/11/22,-3.9,-12.5,-21.1,16900,0.2
6,26.581632653061224,39.83673469387755,98.0,1/12/21,-1.2,-1.65,-2.1,13700,0.0
7,18.21142857142857,30.89142857142857,175.0,1/12/22,1.8,-0.99,-3.8,21700,0.0
8,21.91089108910891,34.34653465346535,101.0,1/13/21,3.1,0.85,-1.4,16900,0.0
9,15.128378378378379,26.986486486486488,148.0,1/13/22,0.9,-1.35,-3.6,14450,0.0
10,15.195402298850574,27.20689655172414,87.0,1/14/21,4.6,1.9,-0.8,12900,0.0
11,15.148717948717948,28.08205128205128,195.0,1/14/22,-1.6,-10.35,-19.1,24100,0.0
12,24.271844660194176,33.94174757281554,103.0,1/15/21,5.6,3.4,1.2,15250,5.0
13,18.280701754385966,31.093567251461987,171.0,1/15/22,-13.1,-17.1,-21.1,16900,0.0
14,24.617021276595743,38.5531914893617,47.0,1/16/21,4.7,1.05,-2.6,20100,0.0
15,16.94,30.26,100.0,1/16/22,-1.4,-8.44,-15.5,12450,3.6
16,27.91044776119403,43.95522388059702,67.0,1/17/21,4.2,0.75,-2.7,16900,0.6
17,12.512048192771084,21.52409638554217,166.0,1/17/22,-2.8,-4.4,-6.0,12150,28.8
18,21.0,35.12328767123287,73.0,1/18/21,0.9,-1.85,-4.6,15250,0.0
19,11.97609561752988,22.382470119521912,251.0,1/18/22,-1.0,-6.25,-11.5,12650,1.2
20,19.008849557522122,31.106194690265486,113.0,1/19/21,-0.1,-1.8,-3.5,15250,0.6
21,29.953405017921146,38.655913978494624,279.0,1/19/22,3.8,-2.55,-8.9,20100,0.0
22,22.686567164179106,38.62686567164179,67.0,1/2/21,1.2,-0.65,-2.5,12850,6.8
23,15.520661157024794,29.52892561983471,121.0,1/2/22,-2.9,-7.6,-12.3,12450,1.4
24,17.318181818181817,29.918181818181818,110.0,1/20/21,-2.2,-4.95,-7.7,24100,0.0
25,20.233606557377048,31.2172131147541,244.0,1/20/22,-8.8,-13.75,-18.7,24100,0.0
26,22.634408602150536,24.677419354838708,93.0,1/21/21,3.1,0.65,-1.8,20100,0.2
27,15.160621761658032,26.683937823834196,193.0,1/21/22,-9.8,-14.9,-20.0,24100,0.0
28,25.682692307692307,30.692307692307693,104.0,1/22/21,1.0,-3.4,-7.8,13850,0.4
29,27.726495726495727,42.17094017094017,117.0,1/22/22,-4.6,-11.7,-18.8,14050,0.4
30,30.5,35.1875,80.0,1/23/21,-4.8,-8.69,-12.6,24100,0.0
31,50.59848484848485,64.06818181818181,132.0,1/23/22,-5.2,-11.5,-17.8,14450,0.0
32,31.78,46.7,50.0,1/24/21,-2.7,-4.95,-7.2,24100,0.0
33,34.0,46.654761904761905,168.0,1/24/22,-5.5,-11.6,-17.7,12450,3.6
34,14.150943396226415,26.58490566037736,106.0,1/25/21,1.9,-0.9,-3.7,24100,0.0
35,17.019607843137255,28.058823529411764,153.0,1/25/22,-7.3,-11.35,-15.4,24100,0.0
36,24.03448275862069,37.172413793103445,116.0,1/26/21,-0.5,-2.54,-4.6,12250,7.4
37,25.735632183908045,37.839080459770116,174.0,1/26/22,-8.9,-12.2,-15.5,21700,0.0
38,24.31578947368421,35.93859649122807,114.0,1/27/21,-3.3,-6.75,-10.2,24100,0.0
39,24.820689655172412,35.765517241379314,145.0,1/27/22,-3.9,-8.9,-13.9,16900,0.4
40,19.583333333333332,32.75925925925926,108.0,1/28/21,-7.8,-10.8,-13.8,24100,0.0
