,Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Fleet
159,1/3/21,62,15:20,Sunday,MAIN STREET STATION,Cleaning,15,30,W,3138
213,1/4/21,67,11:20,Monday,VICTORIA PARK STATION,Cleaning,15,30,N,8934
232,1/4/21,24,13:50,Monday,VICTORIA PARK STATION,Cleaning,10,20,N,8580
269,1/4/21,83,20:17,Monday,COMMISSIONERS AND LAKE,Mechanical,20,40,S,8502
480,1/6/21,21,15:46,Wednesday,SCARBOROUGH CENTRE STA,Cleaning,9,18,S,3508
536,1/7/21,60,07:37,Thursday,STEELES AND BATHURST,Mechanical,8,16,W,3316
910,1/11/21,122,10:38,Monday,YORK MILLS STATION,Cleaning,17,34,W,8146
1233,1/14/21,160,12:59,Thursday,BATHURST AND CODSELL,Cleaning,25,50,N,1321
1264,1/14/21,34,19:10,Thursday,KENNEDY STATION,Mechanical,6,13,W,8946
1476,1/17/21,39,14:00,Sunday,SEWELLS AND CROW TRAIL,Cleaning,16,32,E,1579
1480,1/17/21,39,14:05,Sunday,FINCH AND NEILSON,Cleaning,16,32,E,3466
1569,1/18/21,7,17:15,Monday,BATHURST AND STEELES,Cleaning,8,16,N,9012
1717,1/20/21,985,07:18,Wednesday,DON MILLS STATION,Mechanical,6,12,E,9068
1777,1/20/21,11,14:51,Wednesday,DAVISVILLE STATION,Cleaning,13,26,S,8175
1829,1/21/21,939,08:52,Thursday,FINCH STATION,Mechanical,7,14,W,1306
2234,1/25/21,34,17:39,Monday,KENNEDY STATION,Cleaning,7,13,W,8891
2424,1/27/21,96,11:42,Wednesday,WILSON AND BATHURST,Operations - Operator,24,48,W,3312
2474,1/27/21,63,16:49,Wednesday,OSSINGTON STATION,Mechanical,5,10,N,8332
2477,1/27/21,7,18:10,Wednesday,BATHURST AND STEELES,Mechanical,9,18,N,9014
3678,2/10/21,134,12:09,Wednesday,FINCHDENE AND FINCH,Mechanical,13,26,N,3417
3834,2/12/21,133,09:45,Friday,SCARBOROUGH CENTRE STA,Cleaning,11,22,N,3522
4151,2/16/21,300,03:47,Tuesday,KENNEDY STATION,General Delay,25,55,W,7969
4257,2/16/21,15,16:43,Tuesday,ROYAL YORK AND QUEENSW,Mechanical,14,28,S,7925
4342,2/17/21,53,10:40,Wednesday,PASSMORE AND MARKHAM,Cleaning,13,19,W,3511
4866,2/22/21,9,18:09,Monday,BELLAMY AND PROGRESS,Mechanical,18,36,S,8539
4880,2/23/21,32,06:00,Tuesday,EGLINTON AND DYNEVOR,Mechanical,7,14,E,1101
5029,2/24/21,85,10:42,Wednesday,MEADOWVALE LOOP,Cleaning,8,23,E,3541
5258,2/25/21,95,14:21,Thursday,YORK MILLS AND DON MIL,Mechanical,19,38,E,3427
5377,2/26/21,925,10:17,Friday,DON MILLS STATION,Cleaning,12,24,N,8723
6687,3/6/21,36,13:02,Saturday,FINCH AND WESTON,Cleaning,5,9,E,3215
7296,3/10/21,47,13:52,Wednesday,LANSDOWNE AND ST CLAIR,Cleaning,9,18,S,1030
7322,3/10/21,35,15:24,Wednesday,PIONEER VILLAGE STATIO,Cleaning,11,22,S,3299
7710,3/12/21,70,13:50,Friday,COXWELL STATION,Cleaning,22,44,N,8659
7806,3/13/21,22,13:38,Saturday,COXWELL STATION,Cleaning,8,16,S,9225
7969,3/15/21,24,09:20,Monday,VICTORIA PARK STATION,Cleaning,10,20,N,9217
8601,3/18/21,60,15:22,Thursday,FINCH STATION,Operations - Operator,10,20,W,0
8691,3/18/21,39,20:56,Thursday,FINCH AND BIRCHMOUNT,Road Blocked - NON-TTC Collision,19,36,E,1392
8832,3/19/21,92,15:32,Friday,WOODBINE STATION,Operations - Operator,9,18,S,8559
8887,3/19/21,25,18:39,Friday,PAPE STATION,Operations - Operator,5,10,N,8774
8938,3/20/21,24,11:09,Saturday,VICTORIA PARK AND MCNI,Operations - Operator,8,15,N,9223
8957,3/20/21,70,13:36,Saturday,COXWELL STATION,Operations - Operator,21,42,E,8647
9077,3/21/21,12,17:57,Sunday,VICTORIA PARK STATION,Cleaning,17,34,E,8559
9084,3/21/21,16,19:08,Sunday,WARDEN STATION,Operations - Operator,24,45,N,3160
9086,3/21/21,8,19:15,Sunday,PLAINS AND COXWELL,Cleaning,30,60,S,8605
9089,3/21/21,20,19:35,Sunday,MAIN STREET STATION,Cleaning,30,60,W,8575
9090,3/21/21,20,19:35,Sunday,KENNEDY STATION,Cleaning,30,60,W,8500
9096,3/21/21,22,20:30,Sunday,BINGHAM LOOP,Cleaning,10,20,N,3163
9120,3/22/21,132,05:21,Monday,MALVERN GARAGE,Mechanical,24,48,nan,3415
9158,3/22/21,133,10:29,Monday,SCARBOROUGH CENTRE STA,Cleaning,11,22,S,3440
9174,3/22/21,60,11:57,Monday,PIONEER VILLAGE STATIO,Cleaning,5,11,E,3504
9557,3/25/21,117,06:47,Thursday,DUFFERIN AND STEELES,Mechanical,10,20,N,8317
9681,3/25/21,111,18:28,Thursday,THE EAST MALL AND RATH,Mechanical,19,38,N,8041
9781,3/26/21,53,11:10,Friday,PASSMORE AND MARKHAM,Cleaning,6,19,E,1676
10052,3/29/21,117,09:40,Monday,SHEPPARD WEST STATION,Cleaning,20,40,W,8175
10068,3/29/21,935,11:00,Monday,PIONEER VILLAGE STATIO,Cleaning,12,24,S,1046
10258,3/30/21,927,15:17,Tuesday,KIPLING STATION,Cleaning,9,18,N,1262
10291,3/30/21,102,17:10,Tuesday,WARDEN STATION,Operations - Operator,23,46,N,1247
10365,3/31/21,35,07:05,Wednesday,JANE AND TRETHEWEY,Mechanical,10,20,N,1083
10419,3/31/21,106,12:20,Wednesday,PIONEER VILLAGE STATIO,Cleaning,20,40,E,8364
11312,4/6/21,32,23:14,Tuesday,RENFORTH STATION,Mechanical,11,22,E,1098
11390,4/7/21,34,13:55,Wednesday,KENNEDY STATION,Cleaning,12,24,E,8642
11541,4/8/21,34,14:05,Thursday,KENNEDY STATION,Cleaning,12,24,E,8727
11663,4/9/21,124,13:00,Friday,LAWRENCE STATION,Cleaning,15,30,E,8389
11756,4/9/21,73,21:08,Friday,ROYAL YORK STATION,Operations - Operator,20,38,S,8427
11998,4/11/21,24,19:31,Sunday,VICTORIA PARK STATION,Cleaning,10,20,N,8616
12191,4/12/21,35,19:38,Monday,PIONEER VILLAGE STATIO,Utilized Off Route,9,17,S,1127
13038,4/18/21,53,13:06,Sunday,FINCH STATION,Cleaning,6,12,N,3100
13651,4/22/21,62,10:39,Thursday,MORTIMER AND WOODBINE,Cleaning,22,44,E,8415
14021,4/24/21,47,21:13,Saturday,YORKDALE STATION,Operations - Operator,20,40,N,8109
14022,4/24/21,47,21:13,Saturday,YORKDALE STATION,Operations - Operator,20,40,N,8109
14125,4/25/21,75,19:26,Sunday,SHERBOURNE STATION,Operations - Operator,20,40,N,8964
14161,4/26/21,52,08:21,Monday,LAWRENCE STATION,Operations - Operator,17,34,E,3709
14234,4/26/21,169,13:56,Monday,SCARBOROUGH CENTRE STA,Operations - Operator,30,60,W,1331
14537,4/28/21,39,09:48,Wednesday,NEILSON AND CROW TRAIL,Cleaning,16,32,E,3341
