Route,Location,0
63,EGLINTON WEST STATION,209
36,FINCH WEST STATION,206
7,BATHURST AND WILSON,149
24,VICTORIA PARK STATION,121
960,PIONEER VILLAGE STATION,117
60,PIONEER VILLAGE STATION,112
7,BATHURST STATION,106
54,EGLINTON STATION,100
37,ISLINGTON STATION,96
35,JANE STATION,95
34,EGLINTON STATION,91
52,LAWRENCE WEST STATION,86
35,PIONEER VILLAGE STATION,79
25,PAPE STATION,77
47,YORKDALE STATION,77
34,KENNEDY STATION,76
89,KEELE STATION,75
52,LAWRENCE AND JANE,74
25,DON MILLS STATION,71
36,FINCH AND ARROW,71
32,EGLINTON STATION,70
905,KENNEDY STATION,69
73,ROYAL YORK STATION,67
52,LAWRENCE STATION,67
32,EGLINTON AND KEELE,66
100,BROADVIEW STATION,65
46,KIPLING STATION,65
36,HUMBERWOOD LOOP,64
87,MAIN STREET STATION,61
36,FINCH STATION,61
39,FINCH STATION,60
900,KIPLING STATION,59
86,KENNEDY STATION,58
59,LAWRENCE WEST STATION,56
29,DUFFERIN AND LAWRENCE,56
106,SHEPPARD WEST STATION,56
29,WILSON STATION,55
41,KEELE STATION,53
41,PIONEER VILLAGE STATION,53
110,ISLINGTON STATION,52
32,EGLINTON WEST STATION,52
939,FINCH STATION,51
320,YONGE AND STEELES,51
72,PAPE STATION,51
54,LAWRENCE EAST STATION,50
11,DAVISVILLE STATION,50
96,YORK MILLS STATION,50
43,KENNEDY STATION,50
85,DON MILLS STATION,49
90,ST CLAIR WEST STATION,48
960,FINCH STATION,47
935,JANE STATION,47
94,CASTLE FRANK STATION,46
45,KIPLING STATION,46
32,RENFORTH STATION,45
39,FINCH AND KENNEDY,45
75,SHERBOURNE AND BLOOR,45
116,KENNEDY STATION,45
112,KIPLING STATION,44
102,WARDEN STATION,44
123,KIPLING STATION,44
925,PAPE STATION,42
63,OSSINGTON STATION,42
60,FINCH STATION,40
54,LAWRENCE AND WARDEN,39
104,WILSON STATION,39
84,SHEPPARD WEST STATION,38
47,EARLSCOURT LOOP,38
118,WILSON STATION,38
927,KIPLING STATION,38
16,WARDEN STATION,37
12,VICTORIA PARK STATION,37
96,WILSON AND JANE,36
96,WILSON STATION,36
76,ROYAL YORK STATION,36
24,VICTORIA PARK AND STEE,35
165,YORK MILLS STATION,35
35,JANE AND TRETHEWEY,34
53,STEELES AND MIDLAND,34
109,LAWRENCE WEST STATION,33
40,DUNDAS WEST STATION,33
124,LAWRENCE STATION,33
71,RUNNYMEDE STATION,33
43,MIDLAND AND STEELES,33
36,FINCH AND WESTON,32
111,KIPLING STATION,32
53,FINCH STATION,32
984,SHEPPARD WEST STATION,32
22,COXWELL STATION,32
95,YORK MILLS STATION,32
89,WESTON AND ALBION,31
108,SHEPPARD WEST STATION,31
84,SHEPPARD AND JANE,31
165,WILSON STATION,30
20,KENNEDY STATION,30
929,WILSON STATION,30
68,WARDEN AND STEELES,29
165,WESTON AND FINCH,29
7,BATHURST AND GREENWIN,29
939,SCARBOROUGH CENTRE STATION,29
937,ISLINGTON STATION,28
935,PIONEER VILLAGE STATION,28
107,SHEPPARD WEST STATION,28
88,ST CLAIR STATION,28
