,Ward_name,n_schools
0,Beaches-East York,37
1,Davenport,37
2,Don Valley East,55
3,Don Valley North,71
4,Don Valley West,45
5,Eglinton-Lawrence,54
6,Etobicoke Centre,52
7,Etobicoke North,49
8,Etobicoke-Lakeshore,48
9,Humber River-Black Creek,44
10,Parkdale-High Park,42
11,Scarborough Centre,52
12,Scarborough North,55
13,Scarborough Southwest,43
14,Scarborough-Agincourt,58
15,Scarborough-Guildwood,54
16,Scarborough-Rouge Park,44
17,Spadina-Fort York,28
18,Toronto Centre,31
19,Toronto-Danforth,46
20,Toronto-St. Paul's,47
21,University-Rosedale,50
22,Willowdale,64
23,York Centre,45
24,York South-Weston,43
