,Ward_name,n_stations
0,Beaches-East York,19
1,Davenport,15
2,Don Valley North,27
3,Don Valley West,14
4,Eglinton-Lawrence,34
5,Etobicoke North,4
6,Etobicoke-Lakeshore,28
7,Humber River-Black Creek,11
8,Parkdale-High Park,25
9,Scarborough Centre,30
10,Scarborough Southwest,34
11,Scarborough-Agincourt,2
12,Scarborough-Guildwood,5
13,Scarborough-Rouge Park,2
14,Spadina-Fort York,18
15,Toronto Centre,29
16,Toronto-Danforth,19
17,Toronto-St. Paul's,31
18,University-Rosedale,59
19,Willowdale,33
20,York Centre,38
21,York South-Weston,1
