,stop_name,Ward_name
0,DANFORTH RD AT KENNEDY RD,Scarborough Southwest
1,DAVENPORT RD AT BEDFORD RD,University-Rosedale
2,DAVENPORT RD AT DUPONT ST,University-Rosedale
3,DAVISVILLE AVE AT CLEVELAND ST,Don Valley West
4,DISCO RD AT ATTWELL DR,Etobicoke North
5,DISCO RD AT ATTWELL DR,Etobicoke North
6,DISCO RD AT CARLINGVIEW DR EAST SIDE,Etobicoke North
7,DISCO RD AT CARLINGVIEW DR,Etobicoke North
8,DON MILLS RD AT EGLINTON AVE EAST,Don Valley East
9,DON MILLS RD AT EGLINTON AVE EAST NORTH SIDE,Don Valley East
10,DON MILLS RD AT LAWRENCE AVE EAST SOUTH SIDE,Don Valley East
11,DON MILLS RD AT LEITH HILL RD,Don Valley North
12,DON MILLS RD AT STEELES AVE EAST,Don Valley North
13,DON MILLS RD AT VAN HORNE AVE,Don Valley North
14,DON MILLS RD AT WYNFORD DR,Don Valley East
15,DONCASTER AVE AT MAIN ST WEST SIDE,Beaches-East York
16,DONCASTER AVE AT MAIN ST,Beaches-East York
17,DONCASTER AVE AT MAIN ST,Beaches-East York
18,DREWRY AVE AT GARDENIA CRT,Willowdale
19,DREWRY AVE AT GRANTBROOK ST,Willowdale
20,DUFFERIN ST AT YORKDALE RD,Eglinton-Lawrence
21,DUFFERIN ST AT SPRINGHURST AVE,Spadina-Fort York
22,DUFFERIN ST AT JANE OSLER BLVD - YORKDALE SHOPPING CENTRE,Eglinton-Lawrence
23,DUFFERIN MALL,Davenport
24,DUNDAS ST WEST AT BLOOR ST WEST,Parkdale-High Park
25,DUNDAS ST WEST AT JANE ST EAST SIDE,Parkdale-High Park
26,DUNDAS ST WEST AT JANE ST WEST SIDE,Parkdale-High Park
27,DUNDAS ST WEST AT RUNNYMEDE RD WEST SIDE,Parkdale-High Park
28,DUPLEX AVE AT EGLINTON AVE WEST,Toronto-St. Paul's
29,EAST YORK TOWN CENTRE,Don Valley West
30,EASTERN AVE AT QUEEN ST EAST SOUTH SIDE,Beaches-East York
31,EDNA AVE AT DUNDAS ST WEST,Parkdale-High Park
32,EGLINTON AVE EAST AT BAYVIEW AVE EAST SIDE,Don Valley West
33,EGLINTON AVE EAST AT BRIMLEY RD WEST SIDE,Scarborough Centre
34,EGLINTON AVE EAST AT EGLINTON SQ,Scarborough Centre
35,EGLINTON AVE EAST AT KENNEDY STATION,Scarborough Southwest
36,EGLINTON AVE EAST AT LAIRD DR,Don Valley West
37,EGLINTON AVE EAST AT MARKHAM RD WEST SIDE,Scarborough-Guildwood
38,EGLINTON AVE EAST AT MIDLAND AVE WEST SIDE,Scarborough Centre
39,EGLINTON AVE WEST AT AVENUE RD EAST SIDE,Toronto-St. Paul's
40,EGLINTON AVE WEST AT GLENARDEN RD,Eglinton-Lawrence
41,EGLINTON AVE WEST AT JANE ST EAST SIDE,York South-Weston
42,EGLINTON AVE WEST AT MARLEE AVE,Eglinton-Lawrence
43,EGLINTON AVE WEST AT MARLEE AVE,Eglinton-Lawrence
44,EGLINTON AVE WEST AT OAKWOOD AVE,Toronto-St. Paul's
45,EGLINTON AVE WEST AT WESTON RD,York South-Weston
46,EGLINTON AVE WEST AT WESTON RD,York South-Weston
47,EIGHTH ST AT BIRMINGHAM ST,Etobicoke-Lakeshore
48,EIGHTH ST AT LAKE SHORE BLVD WEST NORTH SIDE,Etobicoke-Lakeshore
49,ELLESMERE RD AT MIRROW CRT,Scarborough-Rouge Park
50,ELLESMERE RD AT EAST SERVICE RD,Scarborough Centre
51,ELLESMERE RD AT EAST SERVICE RD,Scarborough Centre
52,ELLESMERE RD AT MCCOWAN RD EAST SIDE,Scarborough-Guildwood
53,ELLESMERE RD AT PHARMACY AVE,Scarborough Centre
54,ELLESMERE RD AT VICTORIA PARK AVE,Scarborough Centre
55,ELLESMERE RD AT WEST SERVICE RD EAST SIDE,Scarborough Centre
56,ELLESMERE RD AT WEST SERVICE RD,Scarborough Centre
57,THE ESPLANADE AT LOWER JARVIS ST EAST SIDE,Spadina-Fort York
58,EVANS AVE AT BROWN'S LINE,Etobicoke-Lakeshore
59,FARNBORO RD AT ATTWELL DR EAST SIDE,Etobicoke North
60,FINCH AVE EAST AT FINCHDENE SQ WEST SIDE,Scarborough North
61,FINCH AVE EAST AT NEILSON RD WEST SIDE,Scarborough North
62,FINCH AVE EAST AT YONGE ST EAST SIDE,Willowdale
63,AIRPORT RD AT BEVERLEY ST,outside_wards
64,AIRPORT RD AT BRESLER DR WEST SIDE,outside_wards
65,AIRPORT RD AT BRESLER DR,outside_wards
66,AIRPORT RD AT VICTORY CRES,outside_wards
67,ALBION RD AT ELMHURST DR,Etobicoke North
68,ALBION RD AT HUMBERLINE DR,Etobicoke North
69,ALBION RD AT ISLINGTON AVE,Etobicoke North
70,ATTWELL DR AT BELFIELD RD NORTH SIDE,Etobicoke North
71,ATTWELL DR AT DISCO RD,Etobicoke North
72,ATTWELL DR AT MARMAC DR SOUTH SIDE,Etobicoke North
73,ATTWELL DR AT MCLACHLAN DR,Etobicoke North
74,AUKLAND RD AT DUNDAS ST WEST,Etobicoke-Lakeshore
75,AVENUE RD AT OLD ORCHARD GROVE,Eglinton-Lawrence
76,3174 BATHURST ST,Eglinton-Lawrence
77,BATHURST ST AT ELM RIDGE DR,Eglinton-Lawrence
78,BATHURST ST AT GLENCAIRN AVE,Eglinton-Lawrence
79,BATHURST ST AT ST CLAIR AVE WEST,Toronto-St. Paul's
80,BATHURST ST AT STEELES AVE WEST,Willowdale
81,BAYCREST HOME FOR AGED,Eglinton-Lawrence
82,WAGMAN CENTRE,Eglinton-Lawrence
83,BAYVIEW AVE AT VALLYANNA DR,Don Valley West
84,BELFIELD RD AT BROCKPORT DR WEST SIDE,Etobicoke North
85,BELFIELD RD AT BROCKPORT DR,Etobicoke North
86,BERRY RD AT PARK LAWN RD,Etobicoke-Lakeshore
87,BIRCHMOUNT RD AT FINCH AVE EAST,Scarborough-Agincourt
88,BIRCHMOUNT RD AT HIGHVIEW AVE SOUTH SIDE,Scarborough Southwest
89,BIRCHMOUNT RD AT HIGHVIEW AVE,Scarborough Southwest
90,BIRCHMOUNT RD AT STEELES AVE SOUTH SIDE,Scarborough-Agincourt
91,BLOOR ST WEST AT ISLINGTON AVE WEST SIDE,Etobicoke-Lakeshore
92,BLOOR ST WEST AT ISLINGTON AVE,Etobicoke-Lakeshore
93,BLOOR ST WEST AT JANE ST,Parkdale-High Park
94,BRENTCLIFFE RD AT VANDERHOOF AVE,Don Valley West
95,BROADVIEW AVE AT ERINDALE AVE,Toronto-Danforth
96,CHURCH ST AT UPHILL AVE,York South-Weston
97,CORDOVA AVE AT DUNDAS ST WEST,Etobicoke-Lakeshore
98,COXWELL AVE AT MORTIMER AVE (MICHAEL GARRON HOSPITAL),Toronto-Danforth
99,COXWELL AVE AT PLAINS RD,Toronto-Danforth
100,3450 DANFORTH AVE,Scarborough Southwest
101,DANFORTH AVE AT MAIN ST,Beaches-East York
102,KEELE ST AT KEELEGATE DR,York Centre
103,KEELE ST AT ST CLAIR AVE WEST,York South-Weston
104,KEELE ST AT ST CLAIR AVE WEST,York South-Weston
105,KEELE ST AT TORO RD,Humber River-Black Creek
106,KEELE ST AT WILSON AVE NORTH SIDE,York Centre
107,WILSON AVE AT KEELE ST NORTH SIDE,York Centre
108,KENNEDY RD AT PROGRESS AVE,Scarborough Centre
