,stop_name,Ward_name,zone_type
0,DANFORTH RD AT KENNEDY RD,Scarborough Southwest,Commercial Residential
1,DAVENPORT RD AT BEDFORD RD,University-Rosedale,Residential
2,DAVENPORT RD AT DUPONT ST,University-Rosedale,Commercial Residential
3,DAVISVILLE AVE AT CLEVELAND ST,Don Valley West,Residential
4,DISCO RD AT ATTWELL DR,Etobicoke North,Employment Industrial
5,DISCO RD AT ATTWELL DR,Etobicoke North,Employment Industrial
6,DISCO RD AT CARLINGVIEW DR EAST SIDE,Etobicoke North,not_defined
7,DISCO RD AT CARLINGVIEW DR,Etobicoke North,Employment Industrial
8,DON MILLS RD AT EGLINTON AVE EAST,Don Valley East,Employment Industrial Office
9,DON MILLS RD AT EGLINTON AVE EAST NORTH SIDE,Don Valley East,not_defined
10,DON MILLS RD AT LAWRENCE AVE EAST SOUTH SIDE,Don Valley East,not_defined
11,DON MILLS RD AT LEITH HILL RD,Don Valley North,Residential Apartment Commercial
12,DON MILLS RD AT STEELES AVE EAST,Don Valley North,Residential Apartment
13,DON MILLS RD AT VAN HORNE AVE,Don Valley North,Residential Apartment Commercial
14,DON MILLS RD AT WYNFORD DR,Don Valley East,Employment Industrial Office
15,DONCASTER AVE AT MAIN ST WEST SIDE,Beaches-East York,Residential Detached
16,DONCASTER AVE AT MAIN ST,Beaches-East York,Residential Detached
17,DONCASTER AVE AT MAIN ST,Beaches-East York,Residential Detached
18,DREWRY AVE AT GARDENIA CRT,Willowdale,Residential Detached
19,DREWRY AVE AT GRANTBROOK ST,Willowdale,Residential Detached
20,DUFFERIN ST AT YORKDALE RD,Eglinton-Lawrence,Utility and Transportation
21,DUFFERIN ST AT SPRINGHURST AVE,Spadina-Fort York,not_defined
22,DUFFERIN ST AT JANE OSLER BLVD - YORKDALE SHOPPING CENTRE,Eglinton-Lawrence,not_defined
23,DUFFERIN MALL,Davenport,Commercial Residential
24,DUNDAS ST WEST AT BLOOR ST WEST,Parkdale-High Park,not_defined
25,DUNDAS ST WEST AT JANE ST EAST SIDE,Parkdale-High Park,not_defined
26,DUNDAS ST WEST AT JANE ST WEST SIDE,Parkdale-High Park,not_defined
27,DUNDAS ST WEST AT RUNNYMEDE RD WEST SIDE,Parkdale-High Park,not_defined
28,DUPLEX AVE AT EGLINTON AVE WEST,Toronto-St. Paul's,not_defined
29,EAST YORK TOWN CENTRE,Don Valley West,Commercial Residential
30,EASTERN AVE AT QUEEN ST EAST SOUTH SIDE,Beaches-East York,not_defined
31,EDNA AVE AT DUNDAS ST WEST,Parkdale-High Park,not_defined
32,EGLINTON AVE EAST AT BAYVIEW AVE EAST SIDE,Don Valley West,Open Space Recreation
33,EGLINTON AVE EAST AT BRIMLEY RD WEST SIDE,Scarborough Centre,Commercial Residential
34,EGLINTON AVE EAST AT EGLINTON SQ,Scarborough Centre,Commercial Residential
35,EGLINTON AVE EAST AT KENNEDY STATION,Scarborough Southwest,Commercial Residential
36,EGLINTON AVE EAST AT LAIRD DR,Don Valley West,Commercial Residential
37,EGLINTON AVE EAST AT MARKHAM RD WEST SIDE,Scarborough-Guildwood,Commercial Residential
38,EGLINTON AVE EAST AT MIDLAND AVE WEST SIDE,Scarborough Centre,Commercial Residential
39,EGLINTON AVE WEST AT AVENUE RD EAST SIDE,Toronto-St. Paul's,Commercial Residential
40,EGLINTON AVE WEST AT GLENARDEN RD,Eglinton-Lawrence,Commercial Residential
41,EGLINTON AVE WEST AT JANE ST EAST SIDE,York South-Weston,Open Space Recreation
42,EGLINTON AVE WEST AT MARLEE AVE,Eglinton-Lawrence,Commercial Residential
43,EGLINTON AVE WEST AT MARLEE AVE,Eglinton-Lawrence,Commercial Residential
44,EGLINTON AVE WEST AT OAKWOOD AVE,Toronto-St. Paul's,Commercial Residential
45,EGLINTON AVE WEST AT WESTON RD,York South-Weston,Residential Multiple
46,EGLINTON AVE WEST AT WESTON RD,York South-Weston,not_defined
47,EIGHTH ST AT BIRMINGHAM ST,Etobicoke-Lakeshore,not_defined
48,EIGHTH ST AT LAKE SHORE BLVD WEST NORTH SIDE,Etobicoke-Lakeshore,Commercial Residential
49,ELLESMERE RD AT MIRROW CRT,Scarborough-Rouge Park,Residential Detached
50,ELLESMERE RD AT EAST SERVICE RD,Scarborough Centre,not_defined
51,ELLESMERE RD AT EAST SERVICE RD,Scarborough Centre,not_defined
52,ELLESMERE RD AT MCCOWAN RD EAST SIDE,Scarborough-Guildwood,not_defined
53,ELLESMERE RD AT PHARMACY AVE,Scarborough Centre,not_defined
54,ELLESMERE RD AT VICTORIA PARK AVE,Scarborough Centre,Commercial Residential
55,ELLESMERE RD AT WEST SERVICE RD EAST SIDE,Scarborough Centre,Employment Industrial
56,ELLESMERE RD AT WEST SERVICE RD,Scarborough Centre,not_defined
57,THE ESPLANADE AT LOWER JARVIS ST EAST SIDE,Spadina-Fort York,Open Space
58,EVANS AVE AT BROWN'S LINE,Etobicoke-Lakeshore,Utility and Transportation
59,FARNBORO RD AT ATTWELL DR EAST SIDE,Etobicoke North,Employment Industrial
60,FINCH AVE EAST AT FINCHDENE SQ WEST SIDE,Scarborough North,Employment Industrial
61,FINCH AVE EAST AT NEILSON RD WEST SIDE,Scarborough North,Institutional Place of Worship
62,FINCH AVE EAST AT YONGE ST EAST SIDE,Willowdale,not_defined
63,AIRPORT RD AT BEVERLEY ST,outside_wards,not_defined
64,AIRPORT RD AT BRESLER DR WEST SIDE,outside_wards,not_defined
65,AIRPORT RD AT BRESLER DR,outside_wards,not_defined
66,AIRPORT RD AT VICTORY CRES,outside_wards,not_defined
67,ALBION RD AT ELMHURST DR,Etobicoke North,Open Space Golf Course
68,ALBION RD AT HUMBERLINE DR,Etobicoke North,Employment Industrial
69,ALBION RD AT ISLINGTON AVE,Etobicoke North,Commercial Residential
70,ATTWELL DR AT BELFIELD RD NORTH SIDE,Etobicoke North,Employment Industrial
71,ATTWELL DR AT DISCO RD,Etobicoke North,Employment Industrial
72,ATTWELL DR AT MARMAC DR SOUTH SIDE,Etobicoke North,Employment Industrial
73,ATTWELL DR AT MCLACHLAN DR,Etobicoke North,Employment Industrial
74,AUKLAND RD AT DUNDAS ST WEST,Etobicoke-Lakeshore,not_defined
75,AVENUE RD AT OLD ORCHARD GROVE,Eglinton-Lawrence,Commercial Residential
76,3174 BATHURST ST,Eglinton-Lawrence,Residential Apartment
77,BATHURST ST AT ELM RIDGE DR,Eglinton-Lawrence,Residential
78,BATHURST ST AT GLENCAIRN AVE,Eglinton-Lawrence,not_defined
79,BATHURST ST AT ST CLAIR AVE WEST,Toronto-St. Paul's,Commercial Residential
80,BATHURST ST AT STEELES AVE WEST,Willowdale,Commercial Residential
81,BAYCREST HOME FOR AGED,Eglinton-Lawrence,Institutional Hospital
82,WAGMAN CENTRE,Eglinton-Lawrence,Institutional Hospital
83,BAYVIEW AVE AT VALLYANNA DR,Don Valley West,not_defined
84,BELFIELD RD AT BROCKPORT DR WEST SIDE,Etobicoke North,not_defined
85,BELFIELD RD AT BROCKPORT DR,Etobicoke North,Employment Industrial
86,BERRY RD AT PARK LAWN RD,Etobicoke-Lakeshore,Residential Detached
87,BIRCHMOUNT RD AT FINCH AVE EAST,Scarborough-Agincourt,Commercial Residential
88,BIRCHMOUNT RD AT HIGHVIEW AVE SOUTH SIDE,Scarborough Southwest,Employment Industrial
89,BIRCHMOUNT RD AT HIGHVIEW AVE,Scarborough Southwest,Residential Detached
90,BIRCHMOUNT RD AT STEELES AVE SOUTH SIDE,Scarborough-Agincourt,Residential Detached
91,BLOOR ST WEST AT ISLINGTON AVE WEST SIDE,Etobicoke-Lakeshore,not_defined
92,BLOOR ST WEST AT ISLINGTON AVE,Etobicoke-Lakeshore,not_defined
93,BLOOR ST WEST AT JANE ST,Parkdale-High Park,Commercial Residential
94,BRENTCLIFFE RD AT VANDERHOOF AVE,Don Valley West,Employment Light Industrial
