,stop_name,FTH_FAITH,dist
0,DANFORTH RD AT KENNEDY RD,Christian,5233000.791747054
1,DAVENPORT RD AT BEDFORD RD,Christian,5233000.7936449675
2,DAVENPORT RD AT DUPONT ST,Christian,5233000.7920181
3,DAVISVILLE AVE AT CLEVELAND ST,Christian,5233000.772672871
4,DISCO RD AT ATTWELL DR,Christian,5233000.716164312
5,DISCO RD AT ATTWELL DR,Christian,5233000.716217802
6,DISCO RD AT CARLINGVIEW DR EAST SIDE,Christian,5233000.716097026
7,DISCO RD AT CARLINGVIEW DR,Christian,5233000.715874814
8,DON MILLS RD AT EGLINTON AVE EAST,Christian,5233000.7650382165
9,DON MILLS RD AT EGLINTON AVE EAST NORTH SIDE,Christian,5233000.76441548
10,DON MILLS RD AT LAWRENCE AVE EAST SOUTH SIDE,Christian,5233000.74851237
11,DON MILLS RD AT LEITH HILL RD,Christian,5233000.708042504
12,DON MILLS RD AT STEELES AVE EAST,Christian,5233000.672230545
13,DON MILLS RD AT VAN HORNE AVE,Christian,5233000.697221072
14,DON MILLS RD AT WYNFORD DR,Christian,5233000.762884316
15,DONCASTER AVE AT MAIN ST WEST SIDE,Christian,5233000.80234861
16,DONCASTER AVE AT MAIN ST,Christian,5233000.802470299
17,DONCASTER AVE AT MAIN ST,Christian,5233000.802380104
18,DREWRY AVE AT GARDENIA CRT,Christian,5233000.679642912
19,DREWRY AVE AT GRANTBROOK ST,Christian,5233000.679400214
20,DUFFERIN ST AT YORKDALE RD,Christian,5233000.7281793635
21,DUFFERIN ST AT SPRINGHURST AVE,Christian,5233000.8249972835
22,DUFFERIN ST AT JANE OSLER BLVD - YORKDALE SHOPPING CENTRE,Christian,5233000.729671826
23,DUFFERIN MALL,Christian,5233000.80256349
24,DUNDAS ST WEST AT BLOOR ST WEST,Christian,5233000.797045313
25,DUNDAS ST WEST AT JANE ST EAST SIDE,Christian,5233000.77823464
26,DUNDAS ST WEST AT JANE ST WEST SIDE,Christian,5233000.777592459
27,DUNDAS ST WEST AT RUNNYMEDE RD WEST SIDE,Christian,5233000.780152901
28,DUPLEX AVE AT EGLINTON AVE WEST,Christian,5233000.762871661
29,EAST YORK TOWN CENTRE,Christian,5233000.777165908
30,EASTERN AVE AT QUEEN ST EAST SOUTH SIDE,Christian,5233000.823977159
31,EDNA AVE AT DUNDAS ST WEST,Christian,5233000.796257752
32,EGLINTON AVE EAST AT BAYVIEW AVE EAST SIDE,Christian,5233000.764427428
33,EGLINTON AVE EAST AT BRIMLEY RD WEST SIDE,Christian,5233000.773447294
34,EGLINTON AVE EAST AT EGLINTON SQ,Christian,5233000.7709530825
35,EGLINTON AVE EAST AT KENNEDY STATION,Christian,5233000.772838615
36,EGLINTON AVE EAST AT LAIRD DR,Christian,5233000.765152926
37,EGLINTON AVE EAST AT MARKHAM RD WEST SIDE,Christian,5233000.774881814
38,EGLINTON AVE EAST AT MIDLAND AVE WEST SIDE,Christian,5233000.772881753
39,EGLINTON AVE WEST AT AVENUE RD EAST SIDE,Christian,5233000.762332464
40,EGLINTON AVE WEST AT GLENARDEN RD,Christian,5233000.760738829
41,EGLINTON AVE WEST AT JANE ST EAST SIDE,Christian,5233000.757951815
42,EGLINTON AVE WEST AT MARLEE AVE,Christian,5233000.760367403
43,EGLINTON AVE WEST AT MARLEE AVE,Christian,5233000.760383055
44,EGLINTON AVE WEST AT OAKWOOD AVE,Christian,5233000.7602766715
45,EGLINTON AVE WEST AT WESTON RD,Christian,5233000.757991044
46,EGLINTON AVE WEST AT WESTON RD,Christian,5233000.757710518
47,EIGHTH ST AT BIRMINGHAM ST,Christian,5233000.834354308
48,EIGHTH ST AT LAKE SHORE BLVD WEST NORTH SIDE,Christian,5233000.836516404
49,ELLESMERE RD AT MIRROW CRT,Christian,5233000.74142602
50,ELLESMERE RD AT EAST SERVICE RD,Christian,5233000.737416232
51,ELLESMERE RD AT EAST SERVICE RD,Christian,5233000.737196859
52,ELLESMERE RD AT MCCOWAN RD EAST SIDE,Christian,5233000.738691987
53,ELLESMERE RD AT PHARMACY AVE,Christian,5233000.735789009
54,ELLESMERE RD AT VICTORIA PARK AVE,Christian,5233000.735353085
55,ELLESMERE RD AT WEST SERVICE RD EAST SIDE,Christian,5233000.73708848
56,ELLESMERE RD AT WEST SERVICE RD,Christian,5233000.73683455
57,THE ESPLANADE AT LOWER JARVIS ST EAST SIDE,Christian,5233000.826624051
58,EVANS AVE AT BROWN'S LINE,Christian,5233000.815621041
59,FARNBORO RD AT ATTWELL DR EAST SIDE,Christian,5233000.727729023
60,FINCH AVE EAST AT FINCHDENE SQ WEST SIDE,Christian,5233000.701865776
61,FINCH AVE EAST AT NEILSON RD WEST SIDE,Christian,5233000.702081832
62,FINCH AVE EAST AT YONGE ST EAST SIDE,Christian,5233000.687997076
63,AIRPORT RD AT BEVERLEY ST,Christian,5233000.69620112
64,AIRPORT RD AT BRESLER DR WEST SIDE,Christian,5233000.727627188
65,AIRPORT RD AT BRESLER DR,Christian,5233000.727848079
66,AIRPORT RD AT VICTORY CRES,Christian,5233000.696333933
67,ALBION RD AT ELMHURST DR,Christian,5233000.705083689
68,ALBION RD AT HUMBERLINE DR,Christian,5233000.665113774
69,ALBION RD AT ISLINGTON AVE,Christian,5233000.689372778
70,ATTWELL DR AT BELFIELD RD NORTH SIDE,Christian,5233000.719393503
71,ATTWELL DR AT DISCO RD,Christian,5233000.716462393
72,ATTWELL DR AT MARMAC DR SOUTH SIDE,Christian,5233000.723477676
73,ATTWELL DR AT MCLACHLAN DR,Christian,5233000.725202422
74,AUKLAND RD AT DUNDAS ST WEST,Christian,5233000.79103783
75,AVENUE RD AT OLD ORCHARD GROVE,Christian,5233000.73304704
76,3174 BATHURST ST,Christian,5233000.7397025665
77,BATHURST ST AT ELM RIDGE DR,Christian,5233000.756699731
78,BATHURST ST AT GLENCAIRN AVE,Christian,5233000.749708279
79,BATHURST ST AT ST CLAIR AVE WEST,Christian,5233000.7801696
80,BATHURST ST AT STEELES AVE WEST,Christian,5233000.668115439
