,Ward_name,n_stops
0,Beaches-East York,366
1,Davenport,313
2,Don Valley East,328
3,Don Valley North,280
4,Don Valley West,384
5,Eglinton-Lawrence,400
6,Etobicoke Centre,430
7,Etobicoke North,533
8,Etobicoke-Lakeshore,535
9,Humber River-Black Creek,427
10,Parkdale-High Park,306
11,Scarborough Centre,412
12,Scarborough North,440
13,Scarborough Southwest,460
14,Scarborough-Agincourt,327
15,Scarborough-Guildwood,232
16,Scarborough-Rouge Park,372
17,Spadina-Fort York,205
18,Toronto Centre,209
19,Toronto-Danforth,364
20,Toronto-St. Paul's,278
21,University-Rosedale,320
22,Willowdale,291
23,York Centre,453
24,York South-Weston,420
25,outside_wards,345
