,stop_name,NAME,CATEGORY,dist
0,DANFORTH RD AT KENNEDY RD,Rosetta McClain Gardens,Nature/ Park,0.015939168264864443
1,DAVENPORT RD AT BEDFORD RD,The Bata Shoe Museum,Museum,0.005224769425230338
2,DAVENPORT RD AT DUPONT ST,The Bata Shoe Museum,Museum,0.006587307764354183
3,DAVISVILLE AVE AT CLEVELAND ST,Evergreen Brick Works,Attraction,0.020658355840861935
4,DISCO RD AT ATTWELL DR,Woodbine Racetracks,Attraction,0.014329443882436139
5,DISCO RD AT ATTWELL DR,Woodbine Racetracks,Attraction,0.013859634471592518
6,DISCO RD AT CARLINGVIEW DR EAST SIDE,Woodbine Racetracks,Attraction,0.012128745988487757
7,DISCO RD AT CARLINGVIEW DR,Woodbine Racetracks,Attraction,0.011866573931582813
8,DON MILLS RD AT EGLINTON AVE EAST,Ontario Science Centre,Attraction,0.002522532417123572
9,DON MILLS RD AT EGLINTON AVE EAST NORTH SIDE,Ontario Science Centre,Attraction,0.003090400750191242
10,DON MILLS RD AT LAWRENCE AVE EAST SOUTH SIDE,Aga Khan Museum,Museum,0.014893717669756229
11,DON MILLS RD AT LEITH HILL RD,CF Fairview Mall,Landmark,0.004577258444482461
12,DON MILLS RD AT STEELES AVE EAST,Historic Zion Schoolhouse,Museum,0.018869141827979104
13,DON MILLS RD AT VAN HORNE AVE,CF Fairview Mall,Landmark,0.011331372758994086
14,DON MILLS RD AT WYNFORD DR,Ontario Science Centre,Attraction,0.004619799255049392
15,DONCASTER AVE AT MAIN ST WEST SIDE,Kew Gardens Park,Nature/ Park,0.020225461671562285
16,DONCASTER AVE AT MAIN ST,Kew Gardens Park,Nature/ Park,0.020113401311279318
17,DONCASTER AVE AT MAIN ST,Kew Gardens Park,Nature/ Park,0.020229377425298546
18,DREWRY AVE AT GARDENIA CRT,Sarah and Chaim Neuberger Holocaust Education Centre,Museum,0.019685494516637595
19,DREWRY AVE AT GRANTBROOK ST,Sarah and Chaim Neuberger Holocaust Education Centre,Museum,0.018609803790113705
20,DUFFERIN ST AT YORKDALE RD,Yorkdale Mall,Landmark,0.006276788156339806
21,DUFFERIN ST AT SPRINGHURST AVE,Medieval Times Dinner and Tournament,Performing Arts,0.0003641014284209806
22,DUFFERIN ST AT JANE OSLER BLVD - YORKDALE SHOPPING CENTRE,Yorkdale Mall,Landmark,0.0064546206381276
