,stop_name,SCHOOL_TYPE_DESC,dist
0,DANFORTH RD AT KENNEDY RD,English Public,0.005621455269310565
1,DAVENPORT RD AT BEDFORD RD,English Public,0.004756897289248007
2,DAVENPORT RD AT DUPONT ST,Private,0.0038747337744532225
3,DAVISVILLE AVE AT CLEVELAND ST,English Public,0.0027604871949261822
4,DISCO RD AT ATTWELL DR,Private,0.016670141239855243
5,DISCO RD AT ATTWELL DR,Private,0.017681276407304446
6,DISCO RD AT CARLINGVIEW DR EAST SIDE,Private,0.022795135431709378
7,DISCO RD AT CARLINGVIEW DR,Private,0.02316278972426904
8,DON MILLS RD AT EGLINTON AVE EAST,Private,0.004331420961222772
9,DON MILLS RD AT EGLINTON AVE EAST NORTH SIDE,Private,0.0036466181372991516
10,DON MILLS RD AT LAWRENCE AVE EAST SOUTH SIDE,English Public,0.0037030384600109205
11,DON MILLS RD AT LEITH HILL RD,English Separate,0.003714903711074084
12,DON MILLS RD AT STEELES AVE EAST,English Public,0.004768660373920202
13,DON MILLS RD AT VAN HORNE AVE,English Separate,0.0026883359432168167
14,DON MILLS RD AT WYNFORD DR,Private,0.0021520957110000446
15,DONCASTER AVE AT MAIN ST WEST SIDE,English Public,0.002092490994433717
16,DONCASTER AVE AT MAIN ST,English Public,0.001861352891087318
17,DONCASTER AVE AT MAIN ST,English Public,0.0013907611462705676
18,DREWRY AVE AT GARDENIA CRT,English Public,0.005180574830502439
19,DREWRY AVE AT GRANTBROOK ST,English Public,0.006421295488805848
20,DUFFERIN ST AT YORKDALE RD,English Public,0.006795289401224865
21,DUFFERIN ST AT SPRINGHURST AVE,English Public,0.009819221395050549
22,DUFFERIN ST AT JANE OSLER BLVD - YORKDALE SHOPPING CENTRE,English Public,0.005628495404067771
23,DUFFERIN MALL,English Separate,0.002741614862030573
24,DUNDAS ST WEST AT BLOOR ST WEST,English Separate,0.0008966812054737906
25,DUNDAS ST WEST AT JANE ST EAST SIDE,English Public,0.002142876640674732
26,DUNDAS ST WEST AT JANE ST WEST SIDE,English Public,0.003240794526759697
27,DUNDAS ST WEST AT RUNNYMEDE RD WEST SIDE,English Public,0.004681224429976536
28,DUPLEX AVE AT EGLINTON AVE WEST,English Separate,0.000393583615398441
29,EAST YORK TOWN CENTRE,English Public,0.0035959586795591522
30,EASTERN AVE AT QUEEN ST EAST SOUTH SIDE,English Public,0.009238863871463745
31,EDNA AVE AT DUNDAS ST WEST,English Separate,0.001629455996839413
32,EGLINTON AVE EAST AT BAYVIEW AVE EAST SIDE,English Public,0.003836876179521736
33,EGLINTON AVE EAST AT BRIMLEY RD WEST SIDE,English Public,0.004042397661415801
34,EGLINTON AVE EAST AT EGLINTON SQ,English Public,0.009353790108075037
35,EGLINTON AVE EAST AT KENNEDY STATION,Private,0.00021045978750843102
36,EGLINTON AVE EAST AT LAIRD DR,English Public,0.0044229342881716704
37,EGLINTON AVE EAST AT MARKHAM RD WEST SIDE,English Public,0.0026159232696227963
38,EGLINTON AVE EAST AT MIDLAND AVE WEST SIDE,English Separate,0.003482520510233561
39,EGLINTON AVE WEST AT AVENUE RD EAST SIDE,English Public,0.002701347028557783
40,EGLINTON AVE WEST AT GLENARDEN RD,Private,0.0011890750607050967
41,EGLINTON AVE WEST AT JANE ST EAST SIDE,English Public,0.003437358202924529
42,EGLINTON AVE WEST AT MARLEE AVE,English Public,0.004303066057562281
43,EGLINTON AVE WEST AT MARLEE AVE,English Public,0.004182400541750741
44,EGLINTON AVE WEST AT OAKWOOD AVE,English Separate,0.0030881399847212266
45,EGLINTON AVE WEST AT WESTON RD,English Separate,0.0030504745384596662
46,EGLINTON AVE WEST AT WESTON RD,English Public,0.0034364770231834047
47,EIGHTH ST AT BIRMINGHAM ST,English Separate,0.003932814215718499
48,EIGHTH ST AT LAKE SHORE BLVD WEST NORTH SIDE,English Public,0.0023952026316201294
49,ELLESMERE RD AT MIRROW CRT,Private,0.0010456682671459725
50,ELLESMERE RD AT EAST SERVICE RD,English Public,0.007368588666284591
51,ELLESMERE RD AT EAST SERVICE RD,English Public,0.006941451478074837
52,ELLESMERE RD AT MCCOWAN RD EAST SIDE,English Public,0.0031516650784946362
53,ELLESMERE RD AT PHARMACY AVE,Private,0.003021233053685452
54,ELLESMERE RD AT VICTORIA PARK AVE,English Public,0.007033956673442062
55,ELLESMERE RD AT WEST SERVICE RD EAST SIDE,Private,0.004466097217054851
56,ELLESMERE RD AT WEST SERVICE RD,Private,0.004229342930017447
57,THE ESPLANADE AT LOWER JARVIS ST EAST SIDE,English Public,0.0005142249441478126
58,EVANS AVE AT BROWN'S LINE,English Separate,0.002666603526408317
59,FARNBORO RD AT ATTWELL DR EAST SIDE,Private,0.015995005804458146
60,FINCH AVE EAST AT FINCHDENE SQ WEST SIDE,Private,0.002444269058153351
61,FINCH AVE EAST AT NEILSON RD WEST SIDE,Private,0.00040753092033695625
62,FINCH AVE EAST AT YONGE ST EAST SIDE,Private,0.0010048620388301514
63,AIRPORT RD AT BEVERLEY ST,English Separate,0.03564956437147215
64,AIRPORT RD AT BRESLER DR WEST SIDE,English Separate,0.03102621723136966
65,AIRPORT RD AT BRESLER DR,English Separate,0.030291603921769255
66,AIRPORT RD AT VICTORY CRES,English Separate,0.035205293942479406
67,ALBION RD AT ELMHURST DR,Private,0.0011549458667703693
68,ALBION RD AT HUMBERLINE DR,English Separate,0.017308516872713547
69,ALBION RD AT ISLINGTON AVE,French Separate,0.004323883005557731
70,ATTWELL DR AT BELFIELD RD NORTH SIDE,Private,0.016147678353581767
71,ATTWELL DR AT DISCO RD,Private,0.016798106511071782
72,ATTWELL DR AT MARMAC DR SOUTH SIDE,Private,0.014798916008966373
73,ATTWELL DR AT MCLACHLAN DR,Private,0.015405260101938895
74,AUKLAND RD AT DUNDAS ST WEST,Private,0.002676047222108797
75,AVENUE RD AT OLD ORCHARD GROVE,Private,0.0034076334414364093
76,3174 BATHURST ST,Private,0.0014717983660137667
77,BATHURST ST AT ELM RIDGE DR,Private,0.004830284038049899
78,BATHURST ST AT GLENCAIRN AVE,Private,0.0015502630557515725
79,BATHURST ST AT ST CLAIR AVE WEST,Private,0.001733072941773565
80,BATHURST ST AT STEELES AVE WEST,Private,0.008101715547375732
81,BAYCREST HOME FOR AGED,Private,0.0017270963187366285
82,WAGMAN CENTRE,English Separate,0.0018282212400901948
83,BAYVIEW AVE AT VALLYANNA DR,University,0.0032747247902677177
84,BELFIELD RD AT BROCKPORT DR WEST SIDE,Private,0.011999824133278896
85,BELFIELD RD AT BROCKPORT DR,Private,0.012868279153984013
86,BERRY RD AT PARK LAWN RD,English Public,0.00296613534184977
87,BIRCHMOUNT RD AT FINCH AVE EAST,English Separate,0.0034413170652439935
88,BIRCHMOUNT RD AT HIGHVIEW AVE SOUTH SIDE,English Separate,0.004553188645541625
89,BIRCHMOUNT RD AT HIGHVIEW AVE,English Separate,0.0042425755080171615
90,BIRCHMOUNT RD AT STEELES AVE SOUTH SIDE,English Public,0.005299276112684736
91,BLOOR ST WEST AT ISLINGTON AVE WEST SIDE,Private,0.0016090428117328213
92,BLOOR ST WEST AT ISLINGTON AVE,Private,0.0011334012223643253
93,BLOOR ST WEST AT JANE ST,English Separate,0.002161070692801133
94,BRENTCLIFFE RD AT VANDERHOOF AVE,Private,0.006375091362931698
95,BROADVIEW AVE AT ERINDALE AVE,English Public,0.002858178771326754
96,CHURCH ST AT UPHILL AVE,English Public,0.002880296247010514
97,CORDOVA AVE AT DUNDAS ST WEST,English Public,0.0013296340747486817
98,COXWELL AVE AT MORTIMER AVE (MICHAEL GARRON HOSPITAL),English Public,0.0008520148999185485
99,COXWELL AVE AT PLAINS RD,English Public,0.0017085919909028326
100,3450 DANFORTH AVE,Private,0.0031389290111748973
101,DANFORTH AVE AT MAIN ST,English Public,0.0013733999223802264
102,KEELE ST AT KEELEGATE DR,English Public,0.0019582712441430384
103,KEELE ST AT ST CLAIR AVE WEST,English Public,0.007313476328889621
104,KEELE ST AT ST CLAIR AVE WEST,English Public,0.007207401477690626
105,KEELE ST AT TORO RD,English Public,0.0037276151174725543
106,KEELE ST AT WILSON AVE NORTH SIDE,English Public,0.00396144225751957
107,WILSON AVE AT KEELE ST NORTH SIDE,English Public,0.0038498174847418007
108,KENNEDY RD AT PROGRESS AVE,Private,0.0021938006088701063
109,KING ST WEST AT SHAW ST EAST SIDE,English Public,0.005823175693188589
110,KING ST WEST AT STRACHAN AVE,English Public,0.004332133461040721
111,KIPLING AVE AT BELFIELD RD - ETOBICOKE NORTH GO STATION,Private,0.005664508132988469
112,KIPLING AVE AT BLOOR ST WEST NORTH SIDE,Private,0.002502528369018819
113,LANSDOWNE AVE AT DAVENPORT RD SOUTH SIDE,English Separate,0.006798798955604524
114,LANSDOWNE AVE AT DUNDAS ST WEST SOUTH SIDE,English Public,0.003108131952388596
115,LANSDOWNE AVE AT ST CLAIR AVE WEST,English Separate,0.006529042650542532
116,LAWRENCE AVE EAST AT EAST AVE - ROUGE HILL GO STATION,English Public,0.00523795608230152
117,LAWRENCE AVE EAST AT ORTON PARK RD,English Public,0.004659609638844176
118,LAWRENCE AVE WEST AT CULFORD RD,English Public,0.004626750167446492
119,LAWRENCE AVE WEST AT SCARLETT RD EAST SIDE,English Public,0.004516737154620843
120,LAWRENCE AVE WEST AT VARNA DR WEST SIDE,English Public,0.0019406195357934996
121,LAWRENCE AVE WEST AT WESTON RD,Private,0.0011856506271104462
122,LAWRENCE PLAZA AT CANADA TRUST,Private,0.0019524960775098989
123,LAWRENCE SQ AT NORTHWEST ENTRANCE,English Public,0.0045942244766101
124,LESLIE ST AT EASTERN AVE,English Public,0.0037630384968027238
125,LESLIE ST AT KIRKWOOD RD NORTH SIDE,Private,0.003125562986599282
126,LESLIE ST AT LAWRENCE AVE EAST,English Separate,0.0013480452956597347
127,LESLIE ST AT QUEEN ST EAST SOUTH SIDE,English Separate,0.0036585148030345584
128,LONSDALE RD AT AVENUE RD EAST SIDE,Private,0.001134642575743735
129,EXHIBITION LOOP AT MANITOBA DR,English Public,0.009841042523944571
