,ward_name,ward_population,ward_density,ward_median_age,ward_low_income,ward_median_income,child_pop,youth_pop,adult_pop,senior_pop,Area (sq km)
0,Don Valley North,113663.0,4669.6,40.8,14.4,36800.0,5005.0,12745.0,63670.0,25345.0,24.4
1,York Centre,108307.0,3084.0,41.6,11.5,36400.0,5330.0,12995.0,60850.0,21000.0,35.4
2,Don Valley East,95039.0,4171.8,41.6,14.5,36400.0,5220.0,11000.0,51245.0,20145.0,23.0
3,Scarborough-Guildwood,103449.0,3988.2,38.4,14.7,33200.0,6110.0,13905.0,55195.0,18805.0,26.1
4,Etobicoke-Lakeshore,141751.0,3575.4,40.8,11.0,47600.0,5590.0,12395.0,86580.0,26525.0,40.0
5,Scarborough Southwest,111994.0,3982.0,41.2,13.9,35600.0,6360.0,13485.0,61810.0,19985.0,28.2
6,York South-Weston,116757.0,4707.7,40.4,14.7,34400.0,6315.0,13930.0,65060.0,21470.0,25.0
7,Humber River-Black Creek,111593.0,3645.5,38.0,15.2,31400.0,6675.0,16550.0,59460.0,18585.0,30.7
8,Toronto-St. Paul's,116953.0,8914.8,40.4,12.4,50400.0,4625.0,10230.0,69265.0,26300.0,13.1
9,Etobicoke Centre,118483.0,3198.3,45.6,7.9,44400.0,6245.0,13200.0,61750.0,29475.0,37.4
10,Toronto Centre,119901.0,20546.5,35.2,22.2,40800.0,2585.0,15995.0,80990.0,14320.0,5.9
11,Etobicoke North,116003.0,2428.3,38.0,13.0,32400.0,6750.0,16885.0,62160.0,19750.0,48.4
12,Don Valley West,101959.0,3386.0,41.6,12.6,47600.0,6825.0,12665.0,53745.0,19770.0,30.3
13,Scarborough North,94717.0,3119.1,43.2,11.7,30400.0,4730.0,11570.0,50590.0,20635.0,30.4
14,Willowdale,118218.0,5984.4,39.6,17.9,37200.0,4315.0,13140.0,70465.0,23220.0,19.8
15,Parkdale-High Park,106750.0,7197.5,40.4,11.9,46800.0,5205.0,9255.0,66040.0,17740.0,15.3
16,Davenport,105946.0,8769.1,38.4,10.8,40400.0,4120.0,9575.0,67940.0,16565.0,12.1
17,Scarborough-Agincourt,104423.0,4891.1,45.6,14.8,31400.0,4800.0,11650.0,54890.0,27325.0,21.4
18,Toronto-Danforth,105472.0,5173.3,41.2,11.5,45600.0,5240.0,8950.0,63690.0,17860.0,21.8
19,Scarborough Centre,113104.0,4021.6,40.0,13.3,34000.0,5960.0,14630.0,61710.0,21515.0,28.2
20,outside_wards,,,,,,,,,,
21,Beaches-East York,109359.0,6531.2,41.2,11.8,44000.0,6140.0,10820.0,63155.0,17995.0,16.8
22,Eglinton-Lawrence,115832.0,5114.3,41.2,10.1,44000.0,7025.0,14510.0,61630.0,22955.0,22.7
23,Spadina-Fort York,136213.0,10675.4,32.8,14.0,58400.0,2000.0,12575.0,103695.0,11565.0,18.7
24,University-Rosedale,106216.0,7828.0,37.2,15.5,47200.0,2870.0,14125.0,63335.0,21775.0,13.6
25,Scarborough-Rouge Park,102254.0,1920.9,42.0,7.8,37200.0,5670.0,13675.0,53740.0,20705.0,54.1
