,Ward_name,n_worship
0,Beaches-East York,62
1,Davenport,83
2,Don Valley East,38
3,Don Valley North,24
4,Don Valley West,41
5,Eglinton-Lawrence,75
6,Etobicoke Centre,47
7,Etobicoke North,60
8,Etobicoke-Lakeshore,72
9,Humber River-Black Creek,77
10,Parkdale-High Park,73
11,Scarborough Centre,53
12,Scarborough North,43
13,Scarborough Southwest,57
14,Scarborough-Agincourt,51
15,Scarborough-Guildwood,39
16,Scarborough-Rouge Park,29
17,Spadina-Fort York,24
18,Toronto Centre,45
19,Toronto-Danforth,72
20,Toronto-St. Paul's,56
21,University-Rosedale,88
22,Willowdale,41
23,York Centre,73
24,York South-Weston,84
